Country,trending_date,views
Japan,18.12.02,46455
Japan,18.12.02,5820
Japan,18.12.02,169365
Japan,18.12.02,3454
Japan,18.12.02,5181
Japan,18.12.02,117916
Japan,18.12.02,372572
Japan,18.12.02,64384
Japan,18.12.02,14046
Japan,18.12.02,148626
Japan,18.12.02,134430
Japan,18.12.02,3924
Japan,18.12.02,239193
Japan,18.12.02,88446
Japan,18.12.02,33239
Japan,18.12.02,33525
Japan,18.12.02,166341
Japan,18.12.02,6512
Japan,18.12.02,6881
Japan,18.12.02,62268
Japan,18.12.02,90628
Japan,18.12.02,7483
Japan,18.12.02,50066
Japan,18.12.02,424500
Japan,18.12.02,155874
Japan,18.12.02,9177
Japan,18.12.02,13798
Japan,18.12.02,217989
Japan,18.12.02,134931
Japan,18.12.02,23931
Japan,18.12.02,25931
Japan,18.12.02,8944
Japan,18.12.02,103200
Japan,18.12.02,10908
Japan,18.12.02,442215
Japan,18.12.02,36482
Japan,18.12.02,42972
Japan,18.12.02,11130
Japan,18.12.02,10439
Japan,18.12.02,108904
Japan,18.12.02,8099
Japan,18.12.02,17992
Japan,18.12.02,405352
Japan,18.12.02,70611
Japan,18.12.02,30793
Japan,18.12.02,10923
Japan,18.12.02,304586
Japan,18.12.02,25208
Japan,18.12.02,1273490
Japan,18.12.02,16905
Japan,18.12.02,15436
Japan,18.12.02,19536
Japan,18.12.02,176382
Japan,18.12.02,406525
Japan,18.12.02,112016
Japan,18.12.02,12479
Japan,18.12.02,16333
Japan,18.12.02,28423
Japan,18.12.02,1902
Japan,18.12.02,19460
Japan,18.12.02,6727
Japan,18.12.02,246633
Japan,18.12.02,20472
Japan,18.12.02,12943
Japan,18.12.02,41526
Japan,18.12.02,116856
Japan,18.12.02,11157
Japan,18.12.02,41656
Japan,18.12.02,6588
Japan,18.12.02,177544
Japan,18.12.02,56364
Japan,18.12.02,25826
Japan,18.12.02,7220
Japan,18.12.02,23093
Japan,18.12.02,107782
Japan,18.12.02,7246
Japan,18.12.02,45203
Japan,18.13.02,90057
Japan,18.13.02,155100
Japan,18.13.02,73307
Japan,18.13.02,142741
Japan,18.13.02,250437
Japan,18.13.02,24271
Japan,18.13.02,124153
Japan,18.13.02,438960
Japan,18.13.02,193639
Japan,18.13.02,1892070
Japan,18.13.02,136722
Japan,18.13.02,84426
Japan,18.13.02,165799
Japan,18.13.02,118528
Japan,18.13.02,1087530
Japan,18.13.02,45270
Japan,18.13.02,49317
Japan,18.13.02,274231
Japan,18.13.02,125345
Japan,18.13.02,26916
Japan,18.13.02,131826
Japan,18.13.02,31924
Japan,18.13.02,50499
Japan,18.13.02,115714
Japan,18.13.02,21525
Japan,18.13.02,343516
Japan,18.13.02,11634
Japan,18.13.02,66904
Japan,18.13.02,28134
Japan,18.13.02,7752
Japan,18.13.02,452002
Japan,18.13.02,234990
Japan,18.13.02,45502
Japan,18.13.02,2032799
Japan,18.13.02,15541
Japan,18.13.02,114334
Japan,18.13.02,162137
Japan,18.13.02,28484
Japan,18.13.02,13328
Japan,18.13.02,5708
Japan,18.13.02,89197
Japan,18.13.02,250293
Japan,18.13.02,149439
Japan,18.13.02,73281
Japan,18.13.02,24679
Japan,18.13.02,93704
Japan,18.13.02,5443
Japan,18.13.02,12895
Japan,18.13.02,110346
Japan,18.13.02,143920
Japan,18.13.02,41906
Japan,18.13.02,38336
Japan,18.13.02,21573
Japan,18.13.02,4645
Japan,18.13.02,3143036
Japan,18.13.02,55235
Japan,18.13.02,5109
Japan,18.13.02,347397
Japan,18.13.02,18054
Japan,18.13.02,4681
Japan,18.13.02,4967
Japan,18.13.02,4058
Japan,18.13.02,922496
Japan,18.13.02,131738
Japan,18.13.02,94210
Japan,18.13.02,165904
Japan,18.13.02,130421
Japan,18.13.02,7826
Japan,18.13.02,271979
Japan,18.13.02,18831
Japan,18.13.02,9799
Japan,18.13.02,22539
Japan,18.13.02,206918
Japan,18.13.02,5782
Japan,18.13.02,520169
Japan,18.13.02,1111993
Japan,18.13.02,20083
